songID,genre,overlap0,overlap1,overlap1Early,overlap1Late,overlap2,overlap2Early,overlap2Late,overlap3,overlap3Early,overlap3Late,overlap4,overlap4Early,overlap4Late,overlap5,overlap5Early,overlap5Late,overlap6,overlap6Early,overlap6Late
1,blues,1.753658169490285,0.210423811026898,0.013986759242839234,0.620453390147855,0.0400144888969785,0.012410308554183309,0.1767205032408517,0.054571119547719045,0.025400285240239864,0.45578900149993384,0.04722055000327799,0.009911949483285488,0.10841539468120154,0.014025522657606622,0.005603015732494158,0.03471978156159401,0.011328126263760379,0.0031191613671228565,0.02055957034508955
2,blues,2.7852797720613904,0.3946671665221587,0.23132069067906663,0.13963484597027884,0.9162491153412071,0.27826259537773756,0.1687263931335613,1.5329611685497846,0.2360998586604727,0.07392250941964405,0.009114888169031197,0.0028811130033513334,0.018700255018068927,0.4301541997343172,0.08730452397009325,0.016992577082328885,0.24430741193093852,0.056372075304192165,0.05057037417450021
3,blues,2.6978877213427164,0.13270998210969334,0.7034577386336482,0.02685093002058844,0.028506753946322138,0.4551316348676306,0.06878424347697519,0.018781036036902985,0.5171775443557096,0.008157847813373798,0.0493854387901338,0.08748082216797153,0.01499892715141012,0.03646068486639291,0.02325363341967773,0.011403584251910867,0.014721919633289615,0.022702382898527003,0.018540064562790868
4,blues,2.1417742356996192,0.23481505304280173,0.40112439013202156,0.18224318022460717,0.5008651363701082,0.37798128168255896,0.04289642448992571,0.6311040064887526,0.46649188266307046,0.0181092403088352,0.059323017656468906,0.05865535217192457,0.003394817880477552,0.13712231625284724,0.08985764409130989,0.013440141159122888,0.14077315460238798,0.11286804251739775,0.0570436610865259
5,blues,3.0262717551013947,0.27672480443414665,0.588319005443452,0.049128796178218984,0.14509567079326863,0.29384451983101145,0.017441004233324127,0.13866985987611005,0.5249371411568937,0.07171409669109358,0.08030106335777579,0.13957586797042942,0.015172571376572502,0.0386223636012521,0.05041765411319086,0.01666839595397053,0.03464673559313322,0.039174944343009555,0.01394558904463739
6,blues,2.9696170192653004,0.11729054249934227,0.1721852120617686,0.06182964215148479,0.3679329679294047,0.6473786797591403,0.01876021286524684,0.26440079164644703,0.68113379285703,0.20118324737258017,0.03094745368932176,0.09126734868381992,0.009151305636347988,0.19560398420254982,0.23601254188377604,0.10564738852715241,0.10962674113882773,0.061031138288576994,0.03966858746761644
7,blues,4.594428364537683,0.1327945520938314,0.07605233456451568,0.07798233674246483,0.5357657159630844,0.02496288049543819,0.8336159720137298,0.25037720849067796,0.10450636652736991,0.3969721337588409,0.08299000713473592,0.12574124206421466,0.061927130112243725,0.11673780232692546,0.1619167333369895,0.22379345636192283,0.06487206198113434,0.18609500621160863,0.10090707499354684
8,blues,2.226752581459805,0.09533786846768011,0.08730736461009361,0.05714010338844968,0.34480946347083175,0.18347177677137785,0.19825777547677842,0.10702496257814734,0.09994139661843857,0.2512770949880846,0.04421322885243602,0.03753812801663357,0.03732558780385849,0.1310621321855001,0.07892346928450973,0.08456464783394915,0.07080407396119355,0.006030841488308984,0.06032194186001053
9,blues,2.1280399580414247,0.1871984389429022,0.07876919721756974,0.10269155172872096,0.5951223698485327,0.026466146357091706,0.2705897824941139,0.12556643988997324,0.002741065608117705,0.05223156337091268,0.3452723824259464,0.016458262929727175,0.14709914476782426,0.03268558120623414,0.002555638646796802,0.010996077988134437,0.22399593769091725,0.01017716819988449,0.06447748390775394
10,blues,0.7035921587842839,0.04627592696089687,0.01647781173330412,0.046803430361048594,0.0519980771707116,0.0549421921160148,0.08032687555882315,0.09957350800049043,0.020110808964284736,0.05771372591462495,0.005890783565199784,0.0035913029894938226,0.005944984185191439,0.04377674322958029,0.004206462908404011,0.023308906795923755,0.011398773954335273,0.007784111558656017,0.018982447208908022
11,blues,5.498516713764601,0.38861329689556634,0.5619121793328967,0.02598533144420854,0.21370019773031598,0.9917609916842883,0.08868678960563907,0.33549691736758536,0.9730991166569926,0.16963061848440827,0.11114780427228893,0.06451049868817742,0.043304883772989945,0.073332189519202,0.22566952081275765,0.034596673108277694,0.08741939267165783,0.03329581399366919,0.04906959308374235
12,blues,1.6670671180946541,0.0744334079495683,0.03972555600705298,0.46178850124433524,0.036781237104153895,0.010379267768597409,0.15840574008865224,0.06142946721419939,0.009645686443898195,0.13173173240560448,0.018221247340788567,0.03365267849462279,0.01896037845497543,0.01276108700623785,0.011811871994473857,0.01577153272084048,0.013491578299074894,0.01025043088319891,0.010048175498677875
13,blues,1.3155520153283038,0.5432334862967442,0.0713845694791591,0.834468093063223,0.1198816258647323,0.021083825262718747,0.3235393845694062,0.031313374583799194,0.029529452512534044,0.08680425637805192,0.01131722043801511,0.018041821231162353,0.02017106414637981,0.006690766021331595,0.008343330022898648,0.007835776200509646,0.00346385776241129,0.001938638039397499,0.0041681839097020106
14,blues,1.1833446060653185,0.004909254684365884,0.004321916884297549,0.004865287464388739,0.4189300042093074,0.18366825985588311,0.021160042020768578,0.033790648600591666,0.007664493394272895,0.007486678897880388,0.11884721802561563,0.0751167353635141,0.015807822373438057,0.011042179243431934,0.007775783547745592,0.007672739576550072,0.022156123353935415,0.03761736935193251,0.0049384104666216
15,blues,0.8471922772263338,0.011622037744206119,0.00788233391481572,0.04259915720652662,0.038359171659484693,0.023461127941337423,0.009924408069282622,0.03538802093480375,0.0038139855825581417,0.012036210725829295,0.006969199011645389,0.018212960347800622,0.010711674768979842,0.01721100363873885,0.02311906599505531,0.005779301480408862,0.0074437147922312005,0.0037007522666425456,0.005086778104805854
16,blues,1.2812022262727545,0.029535446668694655,0.06106403282066454,0.002837059935382166,0.17236660443592774,0.2987597030603869,0.04432673511865324,0.04127267697095187,0.07221716073185167,0.026464673507897322,0.06239095361050376,0.036488305034350035,0.025595970329826363,0.018961990946047662,0.01436158993133237,0.02348765476902645,0.010825569125855642,0.012307614333559501,0.013305962332660667
17,blues,0.435851641448662,0.13909103766418265,0.021103760375798142,0.07996296902536307,0.04924519260444382,0.016468874857995378,0.023818765674625323,0.013177592174631948,0.011231394077417469,0.011176769702212342,0.004717975975825526,0.004704759560301148,0.0048344378179223674,0.002135500411714319,0.0015714481317927248,0.002378684025045095,0.0004319353642037685,0.0007006194758199607,0.00044302885244436134
18,blues,1.423393738858211,0.14874263534583823,0.21647083024181682,0.07660294524800458,0.03552219586712135,0.07128598988457108,0.024908322830636324,0.01504071007299819,0.048499252299964275,0.013569119378386457,0.008965010869352781,0.024347358543434647,0.0087829212575289,0.0075438409675016825,0.010640271585823985,0.005047627357602433,0.0026099032799737918,0.008421981336026065,0.0024213545869110967
19,blues,0.6227847223096364,0.060053368148814366,0.11736243072777452,0.018060840900099896,0.06582749484693513,0.07645988426569512,0.022230838230877327,0.08643093354602999,0.04447849580895288,0.014022865256730212,0.02368265589780792,0.021783935131444054,0.020476041436242425,0.027901325405767386,0.02671835964979922,0.013655385854818177,0.008516150624547828,0.016332191875148432,0.017330566115927593
20,blues,2.349222608474013,0.005823996435461066,0.005229835775701809,0.00469359109594991,1.2500412335163007,0.15364559792157045,0.17350841471559794,0.020970217223214637,0.04103358422218254,0.006676030536956947,0.3287085605382799,0.09977529574724085,0.05543154573401843,0.009383383689069835,0.022056019030775937,0.008063393054760329,0.08204153018323325,0.04062580770551957,0.02493364921987697
